,precision,recall,f1-score,support
Good,1.0,0.9978730946472882,0.9989354151880766,2821.0
Hazardous,0.8309859154929577,0.7763157894736842,0.8027210884353742,76.0
Moderate,0.9887732749178533,0.9936708860759493,0.9912160307438924,3634.0
Satisfactory,0.9968173138128581,0.9911392405063291,0.9939701682005713,1580.0
Unhealthy,0.9653731343283583,0.9782214156079855,0.9717548076923077,1653.0
Very_Unhealthy,0.9027777777777778,0.826271186440678,0.8628318584070797,236.0
accuracy,0.9863,0.9863,0.9863,0.9863
macro avg,0.9474545693883009,0.9272486021253191,0.9369048947778836,10000.0
weighted avg,0.986114571305359,0.9863,0.9861494546146315,10000.0
